college,height,high_school,hometown,name,photo,roster_url,sport,year
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-tennis/roster,tennis,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-tennis/roster,tennis,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-tennis/roster,tennis,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-tennis/roster,tennis,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-tennis/roster,tennis,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-tennis/roster,tennis,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-tennis/roster,tennis,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-tennis/roster,tennis,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-tennis/roster,tennis,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-tennis/roster,tennis,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-tennis/roster,tennis,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-tennis/roster,tennis,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-tennis/roster,tennis,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-golf/roster,golf,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-golf/roster,golf,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-golf/roster,golf,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-golf/roster,golf,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-golf/roster,golf,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-golf/roster,golf,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-golf/roster,golf,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-golf/roster,golf,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-golf/roster,golf,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-golf/roster,golf,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-golf/roster,golf,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-golf/roster,golf,
Stanford University,,,,N/A,,https://gostanford.com/sports/mens-golf/roster,golf,
Menlo College,"Bruno Barrueto-Deza







Sr.


Full Bio",,,Bruno Barrueto-Deza,,https://menloathletics.com/sports/mens-tennis/roster,tennis,
